--------- beginning of system
01-30 13:43:53.871   772   772 W wificond: Scheduled scan is not running!
01-30 13:45:59.118  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 5 lines
01-30 13:45:59.126  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 14 lines
01-30 13:45:59.594  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 13:45:59.595  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 22 lines
01-30 13:46:03.938  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 1 line
01-30 13:46:13.032  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 2 lines
01-30 13:46:13.036  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 1 line
01-30 13:46:13.037  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 1 line
01-30 13:46:13.040  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 13:46:14.212  3819   872 E ActivityThread: Failed to find provider info for androidx.car.app.connection
01-30 13:46:16.435  1089  1150 I chatty  : uid=1000(system) Binder:1089_2 expire 1 line
01-30 13:46:19.045  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 3 lines
01-30 13:46:21.842  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 6 lines
01-30 13:46:44.508  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 37 lines
01-30 13:46:51.453  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 1 line
01-30 13:46:54.081  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 4 lines
01-30 13:46:54.640  1619  1619 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
01-30 13:46:56.182  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 1 line
01-30 13:46:57.711  1089  2461 I chatty  : uid=1000(system) Binder:1089_C expire 2 lines
01-30 13:46:57.718  1089  1150 I chatty  : uid=1000(system) Binder:1089_2 expire 1 line
01-30 13:46:58.388  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 21 lines
01-30 13:46:58.523  1089  1150 I chatty  : uid=1000(system) Binder:1089_2 expire 1 line
01-30 13:46:58.524  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 13:46:59.216  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 4 lines
01-30 13:46:59.562  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 2 lines
01-30 13:47:00.034  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 2 lines
01-30 13:47:00.788  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 1 line
01-30 13:47:00.921  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 1 line
01-30 13:47:00.960  1799  1799 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
01-30 13:47:00.988  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 12 lines
01-30 13:47:04.462  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 13:47:05.296  1089  2461 I chatty  : uid=1000(system) Binder:1089_C expire 1 line
01-30 13:47:05.379  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 13:47:05.596  1089  1641 I chatty  : uid=1000(system) Binder:1089_19 expire 4 lines
01-30 13:47:05.712  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 1 line
01-30 13:47:06.207  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 2 lines
01-30 13:47:07.431  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 13:47:07.813  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 29 lines
01-30 13:47:08.562  1089  1641 I chatty  : uid=1000(system) Binder:1089_19 expire 3 lines
01-30 13:47:11.840  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 4 lines
01-30 13:47:13.617  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 1 line
01-30 13:47:13.618  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 3 lines
01-30 13:47:13.619  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 2 lines
01-30 13:47:16.167  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 1 line
01-30 13:47:33.088  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 4 lines
01-30 13:47:34.832  1089  1544 I chatty  : uid=1000(system) Binder:1089_18 expire 2 lines
01-30 13:47:35.832  1089  2333 I chatty  : uid=1000(system) Binder:1089_1B expire 2 lines
01-30 13:47:35.970  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 13:47:36.061  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 1 line
