--------- beginning of system
01-25 18:09:37.533  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@54095b6
01-25 18:09:37.533  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@ae162b7
01-26 17:24:01.723  1080  1561 I chatty  : uid=1000(system) Binder:1080_18 expire 1 line
01-26 17:24:01.846  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-26 17:24:03.033  1080  2779 I chatty  : uid=1000(system) Binder:1080_20 expire 1 line
01-26 17:24:03.155  1080  2741 I chatty  : uid=1000(system) Binder:1080_1E expire 1 line
01-26 17:24:03.157  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 8 lines
01-26 17:24:04.322  1080  1174 I chatty  : uid=1000(system) android.fg expire 1 line
01-26 17:24:04.381  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 3 lines
01-26 17:24:04.403  1080  2336 I chatty  : uid=1000(system) Binder:1080_A expire 1 line
01-26 17:24:04.603  1080   385 I chatty  : uid=1000(system) Binder:1080_17 expire 2 lines
01-26 17:24:04.625  1080  3574 I chatty  : uid=1000(system) Binder:1080_10 expire 2 lines
01-26 17:24:04.712  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 5 lines
01-26 17:24:05.262  1080  1308 I chatty  : uid=1000(system) Binder:1080_5 expire 1 line
01-26 17:24:05.681  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 8 lines
01-26 17:24:09.527  1080  3564 I chatty  : uid=1000(system) Binder:1080_F expire 1 line
01-26 17:24:10.362  1080  2207 I chatty  : uid=1000(system) Binder:1080_1C expire 3 lines
01-26 17:24:10.365  1080  2360 I chatty  : uid=1000(system) Binder:1080_C expire 1 line
01-26 17:24:10.365  1080  1798 I chatty  : uid=1000(system) Binder:1080_8 expire 1 line
01-26 17:24:10.450  1080  2361 I chatty  : uid=1000(system) Binder:1080_D expire 2 lines
01-26 17:24:10.515  1080  1792 I chatty  : uid=1000(system) Binder:1080_7 expire 6 lines
01-26 17:24:14.560  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-26 17:24:15.713  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 11 lines
01-26 17:24:15.747  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 4 lines
01-26 17:24:16.102  1080  2361 I chatty  : uid=1000(system) Binder:1080_D expire 3 lines
01-26 17:24:16.193  1080  1106 I chatty  : uid=1000(system) Binder:1080_1 expire 1 line
01-26 17:24:16.193  1080  3574 I chatty  : uid=1000(system) Binder:1080_10 expire 2 lines
01-26 17:24:16.194  1080  2207 I chatty  : uid=1000(system) Binder:1080_1C expire 2 lines
01-26 18:13:29.029  1080  1377 I chatty  : uid=1000(system) NetworkStats expire 1 line
01-26 19:24:06.025  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 5 lines
01-26 19:34:05.945  1080  1185 I chatty  : uid=1000(system) android.bg expire 9 lines
01-26 22:04:06.169  1080  2338 I chatty  : uid=1000(system) Binder:1080_B expire 1 line
01-26 23:10:26.943  1080  1176 I chatty  : uid=1000(system) android.io expire 1 line
01-26 23:10:28.951  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 5 lines
01-26 23:10:29.034  1080  1792 I chatty  : uid=1000(system) Binder:1080_7 expire 2 lines
01-26 23:10:29.747  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 3 lines
01-26 23:10:29.748  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 17 lines
01-26 23:10:30.475  1080  2361 I chatty  : uid=1000(system) Binder:1080_D expire 1 line
